Je Praha hlavní město České Republiky?;ano
Je Brno druhé největší město v České republice?;ano
Je řeka Vltava nejdelší řekou v České republice?;ano
Je česká měna euro?;ne
Nachází se Karlštejn v Jihočeském kraji?;ne
Je Český Krumlov zapsán na seznamu UNESCO?;ano
Má Česká republika přístup k moři?;ne
Je Tatra Mountains nejvyšší pohoří v České republice?;ne
Je Václav Havel bývalým prezidentem České republiky?;ano
Je Ostrava známá pro svou těžbu uhlí?;ano
Patří Kofola mezi nejoblíbenější české nápoje?;ano
Je Sněžka nejvyšší hora v České republice?;ano
Je České Budějovice známé pro své pivo?;ano
Je národní květinou České republiky růže?;ne
Nachází se Olomouc na Moravě?;ano
Je hrad Karlštejn postaven v 19. století?;ne
Je Praha známa svým Orlojem?;ano
Je Česká republika členem Evropské unie?;ano
Nachází se Karlovy Vary v České republice?;ano
Je český jazyk součástí skupiny slovanských jazyků?;ano
Je Česká republika větší než Slovensko?;ne
Je Liberec hlavní město Libereckého kraje?;ano
Je Plzeň město známé svým pivovarem?;ano
Má Česká republika více než 10 milionů obyvatel?;ano
Je Pražský hrad největším hradním komplexem na světě?;ano
Nachází se Kutná Hora v Pardubickém kraji?;ne
Je Litomyšl rodištěm Bedřicha Smetany?;ano
Je Jan Hus český národní hrdina?;ano
Je Česká republika známá výrobou skla a křišťálu?;ano
Je národní strom České republiky lípa?;ano
Je Morava historická země v České republice?;ano
Je Tanec loutkových her známý v České republice?;ano
Nachází se Lednicko-valtický areál v České republice?;ano
Je hrad Karlštejn postaven za vlády Karla IV.?;ano
Je česká kuchyně známá svým gulášem?;ano
Je Brno hlavní město Jihomoravského kraje?;ano
Je Česká republika rozdělená na 14 krajů?;ano
Nachází se zoo Dvůr Králové v České republice?;ano
Je Česká republika součástí Schengenského prostoru?;ano
Je česká hudební skupina Kryštof známá v České republice?;ano
Nachází se hrad Bezděz v Královéhradeckém kraji?;ne
Je Praha známa svou historickou architekturou?;ano
Je Česká republika členem NATO?;ano
Je Olomouc známá svými syrečky (tvarůžky)?;ano
Nachází se Znojmo v Jihomoravském kraji?;ano
Je řeka Labe nejdelší řekou v České republice?;ne
Je Český ráj chráněnou krajinnou oblastí v České republice?;ano
Nachází se Pardubice ve východní části České republiky?;ano
Je hrad Bouzov známý svou pohádkovou atmosférou?;ano
Je Třebíč známý svým židovským kvartálem a bazilikou sv. Prokopa?;ano
Nachází se město Pilsen (Plzeň) v Plzeňském kraji?;ano
